h_name	h_in_db	t_name	t_in_db	relation	split
CCAT1	True	UBE2C	True		
CCAT1	True	ERCC6L	False		
CCAT1	True	HMGB2	True		
CCAT1	True	BLM	False		
CCAT1	True	CCNA2	True		
CCAT1	True	SKA3	False		
CCAT1	True	NCAPH	True		
CCAT1	True	MELK	True		
CCAT1	True	KIF11	False		
CCAT1	True	MYBL2	True		
CCAT1	True	EXO1	False		
CCAT1	True	NEK2	True		
CCAT1	True	PTTG1	True		
CCAT1	True	GPSM2	False		
CCAT1	True	MAD2L1	False		
CCAT1	True	CCNB2	True		
CCAT1	True	CDK1	True	ceRNA or sponge	train
CCAT1	True	AURKB	True		
CCAT1	True	GINS2	True		
CCAT1	True	NCAPG	True		
CCAT1	True	RAD51AP1	False		
CCAT1	True	NUF2	False		
CCAT1	True	CDC45	False		
CCAT1	True	C11orf82	False		
CCAT1	True	CEP55	True		
CCAT1	True	CDCA5	False		
CCAT1	True	CDCA3	True		
CCAT1	True	FOXM1	True		
CCAT1	True	TTK	False		
CCAT1	True	CKS1B	True		
CCAT1	True	MCM10	False		
CCAT1	True	KIF2C	False		
CCAT1	True	PBK	False		
CCAT1	True	FANCD2	False		
CCAT1	True	PLK1	True	ceRNA or sponge	train
CCAT1	True	ITGB3BP	False		
CCAT1	True	NUSAP1	True		
CCAT1	True	BUB1B	True	ceRNA or sponge	train
CCAT1	True	MYC	True	expression association	valid
CCAT1	True	UBE2T	False		
CCAT1	True	SMC4	False		
CCAT1	True	CDC20	True		
CCAT1	True	PCDH7	False		
CCAT1	True	MYOF	False		
CCAT1	True	CYB561A3	False		
CCAT1	True	SLC12A3	False		
CCAT1	True	SAT1	False		
CCAT1	True	MFAP5	False		
CCAT1	True	ZMAT3	False		
CCAT1	True	SERINC2	False		
CCAT1	True	TNS4	False		
CCAT1	True	COL12A1	False		
CCAT1	True	FBN1	False		
CCAT1	True	WISP2	False		
CCAT1	True	GPRC5A	True		
CCAT1	True	C1RL	False		
CCAT1	True	GRAMD1B	False		
CCAT1	True	COL5A1	False		
CCAT1	True	C1QTNF6	False		
CCAT1	True	GSN	False		
CCAT1	True	CPA4	False		
CCAT1	True	S100P	True		
CCAT1	True	SMPD1	False		
CCAT1	True	C3	False		
CCAT1	True	SVEP1	False		
CCAT1	True	STEAP4	False		
CCAT1	True	MUC13	False		
CCAT1	True	SLFN5	False		
CCAT1	True	TLE6	False		
CCAT1	True	PRG4	False		
CCAT1	True	MMP28	False		
CCAT1	True	LAMB2	False		
CCAT1	True	MMP24	False		
CCAT1	True	CFH	False		
CCAT1	True	THSD4	False		
CCAT1	True	IL1RL1	False		
CCAT1	True	AHNAK2	False		
CCAT1	True	C1QTNF1	False		
CCAT1	True	SPINK4	False		
CCAT1	True	EPGN	False		
CCAT1	True	VTN	False		
CCAT1	True	ABCC3	True		
CCAT1	True	ALDH3A1	False		
CCAT1	True	PSCA	False		
CCAT1	True	GDF15	True		
CCAT1	True	CDKN1A	True	expression association	test
CCAT1	True	CLCA2	False		
CCAT1	True	C8orf22	False		
CCAT1	True	WNT10B	True		
CCAT1	True	POLR3G	False		
CCAT1	True	ACTL8	False		
CCAT1	True	RP11-480G7.1	False		
CCAT1	True	GAL	False		
CCAT1	True	SYNGR3	False		
CCAT1	True	CGA	False		
CCAT1	True	LINC00052	True		
CCAT1	True	BCL6B	False		
CCAT1	True	INSIG1	False		
CCAT1	True	RP11-132A1.4	False		
CCAT1	True	PDE4A	False		
CCAT1	True	GPR124	False		
CCAT1	True	PLA2G3	False		
CCAT1	True	RPL5P29	False		
CCAT1	True	NRARP	False		
CCAT1	True	ALDOC	False		
CCAT1	True	S100A14	False		
CCAT1	True	GAGE1	False		
CCAT1	True	CCDC58	False		
CCAT1	True	MMAB	False		
CCAT1	True	HEY1	True		
CCAT1	True	MCF2L	False		
CCAT1	True	SORD	False		
CCAT1	True	IL17RB	False		
CCAT1	True	RP11-145M9.4	False		
CCAT1	True	CACNB2	False		
CCAT1	True	MAPK15	False		
CCAT1	True	MXI1	False		
CCAT1	True	FAM81A	False		
CCAT1	True	TERT	True		
CCAT1	True	GIPC3	False		
CCAT1	True	PAK1IP1	False		
CCAT1	True	ASUN	False		
CCAT1	True	EGLN3	False		
CCAT1	True	FAM131C	False		
CCAT1	True	CD83	False		
CCAT1	True	LINC00263	False		
CCAT1	True	FAM216A	False		
CCAT1	True	SASS6	False		
CCAT1	True	IDI1	False		
CCAT1	True	HES7	False		
CCAT1	True	SPATA13	False		
CCAT1	True	MPP2	False		
CCAT1	True	ALKBH2	False		
CCAT1	True	NREP	False		
CCAT1	True	TBC1D30	False		
CCAT1	True	HMGN5	False		
CCAT1	True	SLC25A19	False		
CCAT1	True	MND1	False		
CCAT1	True	RP11-3P17.3	False		
CCAT1	True	IMPDH2	False		
CCAT1	True	ETNPPL	False		
CCAT1	True	DNMT3B	True		
CCAT1	True	NOP16	False		
CCAT1	True	SOHLH2	False		
CCAT1	True	RPRM	False		
CCAT1	True	LYAR	True		
CCAT1	True	HPRT1	False		
