h	h_name	h_in_db	t	t_name	t_in_db	relation	split
CUFF.112380		False	CUFF.112377		False		
CUFF.112380		False	STRG.37608		False		
ENSG00000268858		False	CUFF.112969		False		
TCONS_00001771		False	CUFF.13275		False		
ENST00000617440		False	CUFF.65860		False		
ENST00000558499		False	CUFF.65860		False		
ENST00000503470		False	ENSG00000006837	CDKL3	False		
ENSG00000269318		False	ENSG00000008382	MPND	False		
ENSG00000266261		False	ENSG00000011295	TTC19	False		
ENSG00000270117		False	ENSG00000014216	CAPN1	False		
ENSG00000251562	MALAT1	True	ENSG00000014216	CAPN1	False		
ENSG00000272933	TRIM8-DT	False	ENSG00000059915	PSD	False		
ENSG00000260063		False	ENSG00000060642	PIGV	False		
ENSG00000278999		False	ENSG00000063169	BICRA	False		
ENSG00000270195		False	ENSG00000068078	FGFR3	True		
ENSG00000224738		False	ENSG00000068097	HEATR6	False		
ENSG00000224738		False	ENSG00000068489	PRR11	True		
ENST00000412643		False	ENSG00000075218	GTSE1	True		
ENST00000412643		False	ENSG00000075240	GRAMD4	False		
ENSG00000279631		False	ENSG00000077327	SPAG6	False		
ENSG00000271780		False	ENSG00000080824	HSP90AA1	True		
STRG.2925		False	ENSG00000085491	SLC25A24	False		
ENSG00000281376	ABALON	True	ENSG00000088325	TPX2	True		
ENSG00000277142	LINC00235	False	ENSG00000090565	RAB11FIP3	False		
STRG.6760		False	ENSG00000095739	BAMBI	False		
ENSG00000258701	LINC00638	False	ENSG00000099814	CEP170B	False		
ENSG00000260924	LINC01311	False	ENSG00000100056	ESS2	False		
ENSG00000270022		False	ENSG00000100243	CYB5R3	False		
ENSG00000270022		False	ENSG00000100266	PACSIN2	False		
TCONS_00029702		False	ENSG00000100311	PDGFB	True		
ENSG00000258525		False	ENSG00000100473	COCH	False		
ENSG00000278002		False	ENSG00000100483	VCPKMT	False		
CUFF.112380		False	ENSG00000101115	SALL4	True		
ENSG00000268858		False	ENSG00000101152	DNAJC5	False		
ENSG00000268858		False	ENSG00000101246	ARFRP1	True		
ENSG00000281376	ABALON	True	ENSG00000101294	HM13	False		
ENSG00000177337	DLGAP1-AS1	True	ENSG00000101608	MYL12A	False		
ENSG00000261469		False	ENSG00000102898	NUTF2	False		
ENSG00000261469		False	ENSG00000102901	CENPT	False		
ENSG00000262136	NQO1-DT	False	ENSG00000102908	NFAT5	True		
ENSG00000277142	LINC00235	False	ENSG00000103266	STUB1	False		
ENST00000561649		False	ENSG00000103275	UBE2I	True		
ENSG00000267783		False	ENSG00000105011	ASF1B	False		
ENSG00000279198		False	ENSG00000105058	FAM32A	False		
ENSG00000180539	LINC02908	False	ENSG00000107281	NPDC1	False		
ENSG00000272933	TRIM8-DT	False	ENSG00000107872	FBXL15	False		
ENSG00000272933	TRIM8-DT	False	ENSG00000107882	SUFU	False		
ENSG00000224738		False	ENSG00000108389	MTMR4	False		
ENSG00000273702		False	ENSG00000108406	DHX40	False		
ENSG00000224738		False	ENSG00000108423	TUBD1	False		
ENSG00000224738		False	ENSG00000108443	RPS6KB1	True		
ENSG00000279602		False	ENSG00000108828	VAT1	False		
ENSG00000265474		False	ENSG00000109118	PHF12	False		
ENSG00000274251		False	ENSG00000110697	PITPNM1	False		
CUFF.165844		False	ENSG00000111879	FAM184A	False		
CUFF.165844		False	ENSG00000111885	MAN1A1	False		
ENST00000508000		False	ENSG00000113318	MSH3	True		
ENSG00000270019		False	ENSG00000115084	SLC35F5	False		
TCONS_00004271		False	ENSG00000115484	CCT4	True		
ENSG00000262001	DLGAP1-AS2	True	ENSG00000118680	MYL12B	False		
ENSG00000177337	DLGAP1-AS1	True	ENSG00000118680	MYL12B	False		
TCONS_00004138		False	ENSG00000119203	CPSF3	False		
ENSG00000260475	SLC25A28-DT	False	ENSG00000120053	GOT1	True		
ENSG00000272933	TRIM8-DT	False	ENSG00000120055	C10orf95	False		
ENSG00000271895		False	ENSG00000120948	TARDBP	True		
ENSG00000274213		False	ENSG00000121057	AKAP1	False		
ENSG00000274213		False	ENSG00000121064	SCPEP1	False		
ENSG00000272079		False	ENSG00000122386	ZNF205	False		
ENSG00000270933		False	ENSG00000122566	HNRNPA2B1	True		
ENSG00000272017		False	ENSG00000123552	USP45	False		
ENSG00000261469		False	ENSG00000124067	SLC12A4	False		
ENSG00000268858		False	ENSG00000124171	PARD6B	False		
ENSG00000267882		False	ENSG00000124171	PARD6B	False		
ENSG00000267882		False	ENSG00000124243	BCAS4	False		
ENSG00000272735		False	ENSG00000124370	MCEE	False		
ENSG00000272735		False	ENSG00000124383	MPHOSPH10	False		
ENSG00000281376	ABALON	True	ENSG00000125968	ID1	True		
ENSG00000230613	HM13-AS1	False	ENSG00000125968	ID1	True		
ENSG00000270022		False	ENSG00000128274	A4GALT	False		
ENSG00000275106		False	ENSG00000128604	IRF5	False		
ENSG00000276698		False	ENSG00000129535	NRL	False		
ENSG00000277142	LINC00235	False	ENSG00000129925	PGAP6	False		
ENSG00000268858		False	ENSG00000130584	ZBTB46	False		
ENSG00000273355		False	ENSG00000132199	ENOSF1	False		
ENSG00000265474		False	ENSG00000132589	FLOT2	True		
ENSG00000261469		False	ENSG00000132600	PRMT7	False		
ENSG00000273082	LARGE1-AS1	False	ENSG00000133424	LARGE1	False		
ENSG00000270117		False	ENSG00000133884	DPF2	False		
ENSG00000251562	MALAT1	True	ENSG00000133884	DPF2	False		
ENSG00000260879		False	ENSG00000134186	PRPF38B	False		
ENSG00000280186		False	ENSG00000134186	PRPF38B	False		
ENSG00000260992	DOCK9-DT	False	ENSG00000134882	UBAC2	False		
ENSG00000260273		False	ENSG00000135587	SMPD2	False		
ENSG00000279631		False	ENSG00000136770	DNAJC1	False		
ENSG00000273338		False	ENSG00000137960	GIPC2	False		
ENSG00000272933	TRIM8-DT	False	ENSG00000138107	ACTR1A	False		
ENSG00000273888		False	ENSG00000139926	FRMD6	False		
ENSG00000273783	GTF2A1-AS1	False	ENSG00000140022	STON2	False		
STRG.19964		False	ENSG00000140104	CLBA1	False		
ENSG00000260919		False	ENSG00000140474	ULK3	False		
ENSG00000270006	C16orf95-DT	False	ENSG00000140941	MAP1LC3B	True		
ENSG00000277142	LINC00235	False	ENSG00000140983	RHOT2	False		
ENSG00000273702		False	ENSG00000141378	PTRH2	False		
