h_name	t_name	type	source	relation	split
ABALON	TPX2	protein_coding	enhancer		
ABALON	ID1	transcription_factor	enhancer		
MALAT1	LTBP3	protein_coding	enhancer	transcriptional regulation	train
MALAT1	MAP3K11	protein_coding	enhancer		
MALAT1	NEAT1	lncRNA	enhancer		
ASB16-AS1	GRN	protein_coding	enhancer		
RAD51-AS1	RAD51	protein_coding	enhancer	transcriptional regulation	train
TNK2-AS1	TFRC	protein_coding	enhancer		
FBXL19-AS1	SETD1A	protein_coding	enhancer		
ERICD	CHRAC1	protein_coding	enhancer		
ILF3-DT	ATG4D	protein_coding	enhancer		
AGAP2-AS1	OS9	protein_coding	enhancer		
SNHG8	METTL14	protein_coding	enhancer		
SOD2-OT1	WTAP	protein_coding	enhancer		
SNHG20	SRSF2	protein_coding	enhancer		
MELTF-AS1	MELTF	protein_coding	enhancer		
RAB11B-AS1	ANGPTL4	protein_coding	enhancer		
SNHG9	E4F1	transcription_factor	enhancer		
NEAT1	LTBP3	protein_coding	enhancer		
NEAT1	MAP3K11	protein_coding	enhancer		
RGMB-AS1	RGMB	protein_coding	enhancer	expression association	train
RAB11B-AS1	RAB11B	protein_coding	enhancer	interact with mRNA	train
NEAT1	MALAT1	lncRNA	enhancer		
CCAT1	UBE2C	protein_coding	CRISPR		
CCAT1	HMGB2	transcription_factor	CRISPR		
CCAT1	CCNA2	protein_coding	CRISPR		
CCAT1	NCAPH	protein_coding	CRISPR		
CCAT1	MELK	protein_coding	CRISPR		
CCAT1	MYBL2	transcription_factor	CRISPR		
CCAT1	NEK2	protein_coding	CRISPR		
CCAT1	PTTG1	protein_coding	CRISPR		
CCAT1	CCNB2	protein_coding	CRISPR		
CCAT1	CDK1	protein_coding	CRISPR	ceRNA or sponge	train
CCAT1	AURKB	protein_coding	CRISPR		
CCAT1	GINS2	protein_coding	CRISPR		
CCAT1	NCAPG	protein_coding	CRISPR		
CCAT1	CEP55	protein_coding	CRISPR		
CCAT1	CDCA3	protein_coding	CRISPR		
CCAT1	FOXM1	transcription_factor	CRISPR		
CCAT1	CKS1B	protein_coding	CRISPR		
CCAT1	PLK1	protein_coding	CRISPR	ceRNA or sponge	train
CCAT1	NUSAP1	protein_coding	CRISPR		
CCAT1	BUB1B	protein_coding	CRISPR	ceRNA or sponge	train
CCAT1	MYC	transcription_factor	CRISPR	expression association	valid
CCAT1	CDC20	protein_coding	CRISPR		
CCAT1	GPRC5A	protein_coding	CRISPR		
CCAT1	S100P	protein_coding	CRISPR		
CCAT1	ABCC3	protein_coding	CRISPR		
CCAT1	GDF15	protein_coding	CRISPR		
CCAT1	CDKN1A	protein_coding	CRISPR	expression association	test
CCAT1	WNT10B	protein_coding	CRISPR		
CCAT1	LINC00052	lncRNA	CRISPR		
CCAT1	HEY1	transcription_factor	CRISPR		
CCAT1	TERT	protein_coding	CRISPR		
CCAT1	DNMT3B	protein_coding	CRISPR		
CCAT1	LYAR	protein_coding	CRISPR		
CCAT1	PDK1	protein_coding	CRISPR		
CCAT1	FKBP5	protein_coding	CRISPR		
CCAT1	VPS9D1-AS1	lncRNA	CRISPR		
CCAT1	PLA2G4A	protein_coding	CRISPR		
CCAT1	SNCA	protein_coding	CRISPR		
CCAT1	NPM1	protein_coding	CRISPR		
CCAT1	SLC25A15	protein_coding	CRISPR		
CCAT1	AGR2	protein_coding	CRISPR		
CCAT1	SNHG1	lncRNA	CRISPR		
CCAT1	PLK4	protein_coding	CRISPR		
CCAT1	SAPCD2	protein_coding	CRISPR		
CCAT1	NES	protein_coding	CRISPR		
CCAT1	ID2	transcription_factor	CRISPR		
CCAT1	HMGB1	transcription_factor	CRISPR		
CCAT1	CYCS	protein_coding	CRISPR		
CCAT1	CDC25A	protein_coding	CRISPR		
CCAT1	AP1S2	protein_coding	CRISPR		
CCAT1	C1QBP	protein_coding	CRISPR		
CCAT1	CASP9	protein_coding	CRISPR		
CCAT1	TFAM	transcription_factor	CRISPR		
CCAT1	HMGB3	transcription_factor	CRISPR		
CCAT1	HDAC2	protein_coding	CRISPR		
CCAT1	GLO1	protein_coding	CRISPR		
CCAT1	SNHG5	lncRNA	CRISPR		
CCAT1	SNHG15	lncRNA	CRISPR		
CCAT1	ATF4	transcription_factor	CRISPR		
CCAT1	PA2G4	protein_coding	CRISPR		
CCAT1	OIP5	protein_coding	CRISPR		
CCAT1	ABCE1	protein_coding	CRISPR		
CCAT1	DANCR	lncRNA	CRISPR		
CCAT1	PTBP2	protein_coding	CRISPR		
CCAT1	SNHG12	lncRNA	CRISPR		
CCAT1	EIF4EBP1	protein_coding	CRISPR		
CCAT1	ZFAS1	lncRNA	CRISPR		
CCAT1	GPD1L	protein_coding	CRISPR		
CCAT1	ILF2	protein_coding	CRISPR		
CCAT1	CCT6A	protein_coding	CRISPR		
CCAT1	SUB1	transcription_factor	CRISPR		
CCAT1	PEG10	protein_coding	CRISPR		
CCAT1	GAS5	lncRNA	CRISPR		
CCAT1	CBS	protein_coding	CRISPR		
CCAT1	DKC1	protein_coding	CRISPR		
CCAT1	TMPO	protein_coding	CRISPR		
CCAT1	PRMT1	protein_coding	CRISPR		
CCAT1	HSP90AA1	protein_coding	CRISPR		
CCAT1	SLBP	protein_coding	CRISPR		
CCAT1	SNHG8	lncRNA	CRISPR		
CCAT1	SRSF1	protein_coding	CRISPR		
CCAT1	RRM1	protein_coding	CRISPR		
CCAT1	SYNCRIP	protein_coding	CRISPR		
CCAT1	CUL4A	protein_coding	CRISPR		
CCAT1	ACTN4	protein_coding	CRISPR		
CCAT1	CLU	protein_coding	CRISPR		
CCAT1	LASP1	protein_coding	CRISPR		
CCAT1	TIMP3	protein_coding	CRISPR		
CCAT1	MCAM	protein_coding	CRISPR		
CCAT1	MMP15	protein_coding	CRISPR		
CCAT1	IGF1R	protein_coding	CRISPR		
CCAT1	SLC7A5	protein_coding	CRISPR		
CCAT1	NFE2L1	transcription_factor	CRISPR		
CCAT1	EGFR	protein_coding	CRISPR		
CCAT1	STAT3	transcription_factor	CRISPR	ceRNA or sponge	train
