gene_id	entrez_id	gene_name_lnctard	gene_type_lnctard	gene_name_gencode	gene_type_gencode	gene_name_homosapiens	gene_type_homosapiens
ENSG00000185186	114038	LINC00313	lncRNA			LINC00313	lncRNA
ENSG00000203499	100128338	FAM83H-AS1	lncRNA			IQANK1	protein_coding
ENSG00000245532	283131	NEAT1	lncRNA			NEAT1	lncRNA
ENSG00000251003	102723356	ZFPM2-AS1	lncRNA	ZFPM2-AS1	lncRNA	ZFPM2-AS1	lncRNA
ENSG00000255717	23642	SNHG1	lncRNA	SNHG1	lncRNA	SNHG1	lncRNA
ENSG00000203801	387111	LINC00222	lncRNA	LINC00222	lncRNA	LINC00222	lncRNA
ENSG00000227372	57212	TP73-AS1	lncRNA			TP73-AS1	transcribed_unitary_pseudogene
ENSG00000249859	5820	PVT1	lncRNA			PVT1	lncRNA
ENSG00000230316	154860	FEZF1-AS1	lncRNA	FEZF1-AS1	lncRNA	FEZF1-AS1	lncRNA
ENSG00000226950	57291	DANCR	lncRNA	DANCR	lncRNA	DANCR	lncRNA
ENSG00000243766	100316868	HOTTIP	lncRNA	HOTTIP	lncRNA	HOTTIP	lncRNA
ENSG00000242265		PEG10	lncRNA	PEG10	protein_coding	PEG10	protein_coding
	100507056	CCAT1	lncRNA				
ENSG00000234741	60674	GAS5	lncRNA			GAS5	lncRNA
ENSG00000229140	137196	CCDC26	lncRNA			CCDC26	lncRNA
ENSG00000245694		CRNDE	lncRNA			CRNDE	lncRNA
ENSG00000229404	170425	LINC00858	lncRNA	LINC00858	lncRNA	LINC00858	lncRNA
ENSG00000228630	100124700	HOTAIR	lncRNA	HOTAIR	lncRNA	HOTAIR	lncRNA
ENSG00000224189	401022	HAGLR	lncRNA	HAGLR	lncRNA	HAGLR	lncRNA
ENSG00000204091	732253	TDRG1	lncRNA	TDRG1	lncRNA	TDRG1	lncRNA
ENSG00000244968	100506495	LIFR-AS1	lncRNA	LIFR-AS1	lncRNA	LIFR-AS1	lncRNA
ENSG00000226856	100506797	THORLNC	lncRNA	THORLNC	lncRNA	THORLNC	lncRNA
ENSG00000218510	29092	LINC00339	lncRNA	LINC00339	lncRNA	LINC00339	lncRNA
ENSG00000248092	100652772	NNT-AS1	lncRNA	NNT-AS1	lncRNA	NNT-AS1	lncRNA
ENSG00000236830	100506428	CBR3-AS1	lncRNA	CBR3-AS1	lncRNA	CBR3-AS1	lncRNA
ENSG00000238057	100303491	ZEB2-AS1	lncRNA			ZEB2-AS1	lncRNA
ENSG00000227009	100127979	FUNDC2P4	lncRNA	FUNDC2P4	processed_pseudogene	FUNDC2P4	processed_pseudogene
ENSG00000197989	85028	SNHG12	lncRNA			SNHG12	lncRNA
	114004396	LNCRNA-ATB	lncRNA				
ENSG00000222041	112597	CYTOR	lncRNA			CYTOR	lncRNA
ENSG00000251562	378938	MALAT1	lncRNA			MALAT1	lncRNA
ENSG00000203875	387066	SNHG5	lncRNA			SNHG5	lncRNA
ENSG00000234753	101060264	FOXP4-AS1	lncRNA	FOXP4-AS1	lncRNA	FOXP4-AS1	lncRNA
ENSG00000253352	55000	TUG1	lncRNA			TUG1	protein_coding
ENSG00000185591	6667	SP1	TF			SP1	protein_coding
ENSG00000115415	6772	STAT1	TF			STAT1	protein_coding
ENSG00000179406	285908	LINC00174	lncRNA			LINC00174	lncRNA
ENSG00000186594	84981	MIR22HG	lncRNA			MIR22HG	lncRNA
ENSG00000214548	55384	MEG3	lncRNA			MEG3	lncRNA
ENSG00000225783	440823	MIAT	lncRNA	MIAT	lncRNA	MIAT	lncRNA
ENSG00000227640	100507533	SOX21-AS1	lncRNA	SOX21-AS1	lncRNA	SOX21-AS1	lncRNA
ENSG00000235706	400242	DICER1-AS1	lncRNA	DICER1-AS1	lncRNA	DICER1-AS1	lncRNA
ENSG00000272168	401237	CASC15	lncRNA			CASC15	lncRNA
ENSG00000150907	2308	FOXO1	TF			FOXO1	protein_coding
ENSG00000230590	100302692	FTX	lncRNA			FTX	lncRNA
ENSG00000171889	554202	MIR31HG	lncRNA	MIR31HG	lncRNA	MIR31HG	lncRNA
ENSG00000280594	110806272	BTG3-AS1	lncRNA	BTG3-AS1	lncRNA	BTG3-AS1	lncRNA
