gene_id	degree	weakly_connected	gene_name_lnctard	gene_name_corrected	gene_type_lnctard	gene_type_corrected
ENSG00000251562	317	True	MALAT1	MALAT1	lncRNA	lncRNA
ENSG00000228630	250	True	HOTAIR	HOTAIR	lncRNA	lncRNA
ENSG00000130600	198	True	H19	H19	lncRNA	lncRNA
ENSG00000245532	185	True	NEAT1	NEAT1	lncRNA	lncRNA
ENSG00000214548	164	True	MEG3	MEG3	lncRNA	lncRNA
ENSG00000253352	121	True	TUG1	TUG1	lncRNA	protein_coding
ENSG00000249859	112	True	PVT1	PVT1	lncRNA	lncRNA
ENSG00000214049	106	True	UCA1	UCA1	lncRNA	lncRNA
ENSG00000234741	104	True	GAS5	GAS5	lncRNA	lncRNA
ENSG00000106462	101	True	EZH2	EZH2	protein_coding	protein_coding
ENSG00000136997	96	True	MYC	MYC	transcription_factor	transcription_factor
ENSG00000240498	94	True	CDKN2B-AS1	CDKN2B-AS1	lncRNA	lncRNA
ENSG00000229807	87	True	XIST	XIST	lncRNA	lncRNA
ENSG00000168610	76	True	STAT3	STAT3	transcription_factor	transcription_factor
ENSG00000171862	74	True	PTEN	PTEN	protein_coding	protein_coding
ENSG00000255717	72	True	SNHG1	SNHG1	lncRNA	lncRNA
ENSG00000124762	70	True	CDKN1A	CDKN1A	protein_coding	protein_coding
ENSG00000168036	68	True	CTNNB1	CTNNB1	protein_coding	protein_coding
ENSG00000141510	68	True	TP53	TP53	transcription_factor	transcription_factor
ENSG00000226950	64	True	DANCR	DANCR	lncRNA	lncRNA
ENSG00000171791	63	True	BCL2	BCL2	protein_coding	protein_coding
ENSG00000285219	57	True	HULC	HULC	lncRNA	lncRNA
ENSG00000148516	56	True	ZEB1	ZEB1	transcription_factor	transcription_factor
ENSG00000243766	55	True	HOTTIP	HOTTIP	lncRNA	lncRNA
ENSG00000110092	54	True	CCND1	CCND1	protein_coding	protein_coding
ENSG00000163597	54	True	SNHG16	SNHG16	lncRNA	lncRNA
ENSG00000247844	53	True	CCAT1	CCAT1	lncRNA	lncRNA
ENSG00000105329	50	True	TGFB1	TGFB1	protein_coding	protein_coding
ENSG00000142208	49	True	AKT1	AKT1	protein_coding	protein_coding
ENSG00000247556	49	True	OIP5-AS1	OIP5-AS1	lncRNA	lncRNA
ENSG00000233016	48	True	SNHG7	SNHG7	lncRNA	lncRNA
ENSG00000245694	46	True	CRNDE	CRNDE	lncRNA	lncRNA
ENSG00000272620	46	True	AFAP1-AS1	AFAP1-AS1	lncRNA	lncRNA
ENSG00000100985	46	True	MMP9	MMP9	protein_coding	protein_coding
ENSG00000245694	46	True	CRNDE	CRNDE	lncRNA	lncRNA
ENSG00000177640	45	True	CASC2	CASC2	lncRNA	lncRNA
ENSG00000185591	44	True	SP1	SP1	transcription_factor	transcription_factor
ENSG00000185591	44	True	SP1	SP1	protein_coding	protein_coding
ENSG00000260032	44	True	NORAD	NORAD	lncRNA	lncRNA
ENSG00000137693	42	True	YAP1	YAP1	protein_coding	protein_coding
ENSG00000222041	41	True	CYTOR	CYTOR	lncRNA	lncRNA
ENSG00000225783	41	True	MIAT	MIAT	lncRNA	lncRNA
ENSG00000245910	41	True	SNHG6	SNHG6	lncRNA	lncRNA
ENSG00000087088	40	True	BAX	BAX	protein_coding	protein_coding
ENSG00000039068	40	True	CDH1	CDH1	protein_coding	protein_coding
ENSG00000258609	39	True	LINC-ROR	LINC-ROR	lncRNA	lncRNA
ENSG00000177410	39	True	ZFAS1	ZFAS1	lncRNA	lncRNA
ENSG00000087245	39	True	MMP2	MMP2	protein_coding	protein_coding
ENSG00000240990	38	True	HOXA11-AS	HOXA11-AS	lncRNA	lncRNA
ENSG00000100644	37	True	HIF1A	HIF1A	transcription_factor	transcription_factor
ENSG00000124216	36	True	SNAI1	SNAI1	transcription_factor	transcription_factor
ENSG00000112715	35	True	VEGFA	VEGFA	protein_coding	protein_coding
ENSG00000248323	34	True	LUCAT1	LUCAT1	lncRNA	lncRNA
ENSG00000269821	33	True	KCNQ1OT1	KCNQ1OT1	lncRNA	lncRNA
ENSG00000227036	33	True	LINC00511	LINC00511	lncRNA	lncRNA
ENSG00000124766	33	True	SOX4	SOX4	transcription_factor	transcription_factor
ENSG00000100030	32	True	MAPK1	MAPK1	protein_coding	protein_coding
ENSG00000146648	32	True	EGFR	EGFR	protein_coding	protein_coding
ENSG00000197989	32	True	SNHG12	SNHG12	lncRNA	lncRNA
ENSG00000237424	31	True	FOXD2-AS1	FOXD2-AS1	lncRNA	lncRNA
ENSG00000233532	31	True	LINC00460	LINC00460	lncRNA	lncRNA
ENSG00000223573	30	True	TINCR	TINCR	lncRNA	protein_coding
ENSG00000242125	29	True	SNHG3	SNHG3	lncRNA	lncRNA
ENSG00000101412	29	True	E2F1	E2F1	transcription_factor	transcription_factor
ENSG00000241388	29	True	HNF1A-AS1	HNF1A-AS1	lncRNA	lncRNA
ENSG00000253438	29	True	PCAT1	PCAT1	lncRNA	lncRNA
ENSG00000105810	29	True	CDK6	CDK6	protein_coding	protein_coding
ENSG00000203875	28	True	SNHG5	SNHG5	lncRNA	lncRNA
ENSG00000039068	28	True	E-cadherin	CDH1	protein_coding	protein_coding
ENSG00000227372	28	True	TP73-AS1	TP73-AS1	lncRNA	transcribed_unitary_pseudogene
ENSG00000280997	28	True	CCAT2	CCAT2	lncRNA	lncRNA
ENSG00000096717	27	True	SIRT1	SIRT1	lncRNA	protein_coding
ENSG00000206337	27	True	HCP5	HCP5	lncRNA	lncRNA
ENSG00000096717	27	True	SIRT1	SIRT1	protein_coding	protein_coding
ENSG00000234912	27	True	SNHG20	SNHG20	lncRNA	lncRNA
ENSG00000100811	27	True	YY1	YY1	transcription_factor	transcription_factor
NCBI102800311	26	True	TP53COR1	TP53COR1	lncRNA	lncRNA
ENSG00000224189	25	True	HAGLR	HAGLR	lncRNA	lncRNA
ENSG00000232956	25	True	SNHG15	SNHG15	lncRNA	lncRNA
ENSG00000122691	25	True	TWIST1	TWIST1	transcription_factor	transcription_factor
ENSG00000121879	25	True	PIK3CA	PIK3CA	protein_coding	protein_coding
ENSG00000231764	25	True	DLX6-AS1	DLX6-AS1	lncRNA	lncRNA
ENSG00000181449	24	True	SOX2	SOX2	transcription_factor	transcription_factor
ENSG00000169554	24	True	ZEB2	ZEB2	transcription_factor	transcription_factor
ENSG00000261801	24	True	LOXL1-AS1	LOXL1-AS1	lncRNA	lncRNA
ENSG00000149948	23	True	HMGA2	HMGA2	transcription_factor	transcription_factor
ENSG00000111206	23	True	FOXM1	FOXM1	transcription_factor	transcription_factor
ENSG00000148400	23	True	NOTCH1	NOTCH1	protein_coding	protein_coding
ENSG00000278910	23	True	BANCR	BANCR	lncRNA	lncRNA
ENSG00000124813	23	True	RUNX2	RUNX2	transcription_factor	transcription_factor
ENSG00000253552	23	True	HOXA-AS2	HOXA-AS2	lncRNA	lncRNA
ENSG00000136244	23	True	IL6	IL6	protein_coding	protein_coding
ENSG00000026025	23	True	VIM	VIM	protein_coding	protein_coding
ENSG00000110092	22	True	Cyclin D1	CCND1	protein_coding	protein_coding
ENSG00000255737	22	True	AGAP2-AS1	AGAP2-AS1	protein_coding	lncRNA
ENSG00000237036	22	True	ZEB1-AS1	ZEB1-AS1	lncRNA	lncRNA
ENSG00000127528	22	True	KLF2	KLF2	transcription_factor	transcription_factor
ENSG00000255737	22	True	AGAP2-AS1	AGAP2-AS1	lncRNA	lncRNA
ENSG00000198793	22	True	MTOR	MTOR	protein_coding	protein_coding
ENSG00000199004	21	True	miR-21	MIR21	miRNA	miRNA
ENSG00000278709	21	True	NKILA	NKILA	lncRNA	lncRNA
ENSG00000176124	21	True	DLEU1	DLEU1	lncRNA	lncRNA
ENSG00000066044	21	True	ELAVL1	ELAVL1	protein_coding	protein_coding
ENSG00000268388	21	True	FENDRR	FENDRR	lncRNA	lncRNA
ENSG00000224078	21	True	SNHG14	SNHG14	lncRNA	lncRNA
