h	h_name	h_in_db	t	t_name	t_in_db	relation	split
CUFF.112380		False	CUFF.112377		False		
CUFF.112380		False	STRG.37608		False		
CUFF.112377		False	CUFF.112380		False		
STRG.37608		False	CUFF.112380		False		
ENSG00000268858		False	CUFF.112969		False		
TCONS_00001771		False	CUFF.13275		False		
ENSG00000268996	MAN1B1-DT	False	CUFF.199304		False		
ENSG00000231154	MORF4L2-AS1	False	CUFF.204049		False		
ENST00000617440		False	CUFF.65860		False		
ENST00000558499		False	CUFF.65860		False		
ENST00000560208		False	CUFF.70414		False		
ENST00000581596		False	CUFF.78585		False		
ENSG00000256116		False	ENSG00000002330	BAD	True		
ENST00000538355		False	ENSG00000002330	BAD	True		
ENST00000584428		False	ENSG00000002919	SNX11	False		
ENST00000538094		False	ENSG00000003056	M6PR	False		
ENSG00000245105	A2M-AS1	False	ENSG00000003056	M6PR	False		
ENST00000383461		False	ENSG00000004399	PLXND1	False		
ENST00000502789		False	ENSG00000004399	PLXND1	False		
ENSG00000276791		False	ENSG00000005001	PRSS22	False		
ENSG00000260345		False	ENSG00000005194	CIAPIN1	False		
ENST00000592381		False	ENSG00000006125	AP2B1	False		
ENST00000440088		False	ENSG00000006576	PHTF2	False		
ENSG00000279469		False	ENSG00000006837	CDKL3	False		
ENST00000515627		False	ENSG00000006837	CDKL3	False		
ENST00000503470		False	ENSG00000006837	CDKL3	False		
ENSG00000264577		False	ENSG00000007202	BLTP2	False		
ENSG00000274751		False	ENSG00000007516	BAIAP3	False		
ENSG00000260425		False	ENSG00000007520	TSR3	False		
TCONS_00011706		False	ENSG00000007944	MYLIP	True		
ENSG00000280247		False	ENSG00000008382	MPND	False		
ENSG00000269318		False	ENSG00000008382	MPND	False		
ENST00000563192		False	ENSG00000008710	PKD1	False		
ENSG00000269889		False	ENSG00000008952	SEC62	False		
ENST00000480284		False	ENSG00000009335	UBE3C	False		
ENSG00000261071		False	ENSG00000010017	RANBP9	False		
ENSG00000268006	PTOV1-AS1	False	ENSG00000010361	FUZ	False		
ENSG00000272173		False	ENSG00000010626	LRRC23	False		
ENST00000537269		False	ENSG00000010626	LRRC23	False		
ENSG00000271969		False	ENSG00000010626	LRRC23	False		
ENSG00000266261		False	ENSG00000011295	TTC19	False		
ENST00000444326		False	ENSG00000011638	LDAF1	False		
ENSG00000236144	TMEM147-AS1	False	ENSG00000012124	CD22	False		
ENSG00000285018		False	ENSG00000013563	DNASE1L1	False		
ENST00000542291		False	ENSG00000013588	GPRC5A	True		
ENSG00000254614	CAPN1-AS1	False	ENSG00000014138	POLA2	False		
ENSG00000270117		False	ENSG00000014216	CAPN1	False		
ENSG00000251562	MALAT1	True	ENSG00000014216	CAPN1	False		
ENSG00000254614	CAPN1-AS1	False	ENSG00000014216	CAPN1	False		
ENSG00000281398	SNHG4	True	ENSG00000015479	MATR3	False		
ENST00000584509		False	ENSG00000017797	RALBP1	False		
ENSG00000272986		False	ENSG00000018189	RUFY3	False		
ENSG00000244041	LINC01011	False	ENSG00000021355	SERPINB1	False		
ENSG00000272716	SLC30A6-DT	False	ENSG00000021574	SPAST	False		
ENSG00000272444		False	ENSG00000022976	ZNF839	False		
ENSG00000227946	INO80D-AS1	False	ENSG00000023228	NDUFS1	False		
ENSG00000272476		False	ENSG00000025796	SEC63	False		
ENSG00000276063		False	ENSG00000029364	SLC39A9	False		
ENSG00000267080	ASB16-AS1	True	ENSG00000030582	GRN	True		
ENSG00000267394	ATXN7L3-AS1	False	ENSG00000030582	GRN	True		
ENSG00000260793		False	ENSG00000030582	GRN	True		
ENSG00000272661		False	ENSG00000033050	ABCF2	False		
ENST00000532831		False	ENSG00000033327	GAB2	True		
ENST00000500113		False	ENSG00000033327	GAB2	True		
ENST00000527321		False	ENSG00000033327	GAB2	True		
CUFF.167600		False	ENSG00000034693	PEX3	False		
ENSG00000267519	MIR23AHG	False	ENSG00000037757	MRI1	False		
TCONS_00024870		False	ENSG00000039523	RIPOR1	False		
TCONS_00024442		False	ENSG00000039523	RIPOR1	False		
ENSG00000261513		False	ENSG00000040199	PHLPP2	True		
ENST00000428958		False	ENSG00000048828	FAM120A	False		
ENSG00000224043	CCNT2-AS1	False	ENSG00000048991	R3HDM1	False		
ENSG00000279908		False	ENSG00000049656	CLPTM1L	False		
ENSG00000249085	TNPO1-DT	False	ENSG00000049883	PTCD2	False		
ENST00000504573		False	ENSG00000050748	MAPK9	False		
ENSG00000245849	RAD51-AS1	True	ENSG00000051180	RAD51	True	transcriptional regulation	train
ENSG00000279196		False	ENSG00000052344	PRSS8	True		
ENSG00000260267		False	ENSG00000052344	PRSS8	True		
ENSG00000268996	MAN1B1-DT	False	ENSG00000054148	PHPT1	False		
ENSG00000260190		False	ENSG00000054148	PHPT1	False		
ENSG00000273314		False	ENSG00000055130	CUL1	False		
ENST00000586907		False	ENSG00000056558	TRAF1	False		
ENST00000442982		False	ENSG00000056558	TRAF1	False		
ENST00000588973		False	ENSG00000056558	TRAF1	False		
ENST00000608862		False	ENSG00000056558	TRAF1	False		
ENST00000447891		False	ENSG00000056558	TRAF1	False		
ENST00000612398		False	ENSG00000056558	TRAF1	False		
ENST00000611982		False	ENSG00000056558	TRAF1	False		
ENST00000614216		False	ENSG00000056558	TRAF1	False		
ENST00000432640		False	ENSG00000056558	TRAF1	False		
ENST00000450803		False	ENSG00000056558	TRAF1	False		
ENSG00000272764		False	ENSG00000057608	GDI2	False		
ENSG00000246763	RGMB-AS1	True	ENSG00000058729	RIOK2	False		
ENSG00000276791		False	ENSG00000059122	FLYWCH1	False		
ENSG00000274751		False	ENSG00000059145	UNKL	False		
ENSG00000260425		False	ENSG00000059145	UNKL	False		
ENSG00000260231	KDM7A-DT	False	ENSG00000059378	PARP12	False		
ENST00000492465		False	ENSG00000059915	PSD	False		
ENSG00000272933	TRIM8-DT	False	ENSG00000059915	PSD	False		
ENSG00000260063		False	ENSG00000060642	PIGV	False		
TCONS_l2_00024520		False	ENSG00000060762	MPC1	False		
ENSG00000229589	ACVR2B-AS1	False	ENSG00000060971	ACAA1	True		
ENSG00000278999		False	ENSG00000063169	BICRA	False		
ENSG00000260942	CAPN10-DT	False	ENSG00000063660	GPC1	False		
TCONS_00004629		False	ENSG00000063660	GPC1	False		
TCONS_00005314		False	ENSG00000064012	CASP8	True		
